Date,plug_id,Channel.Position,Chamber ,Run,Temp.Cat,Chamber.Vol.L,Notes
20201219,AST-1470,1,3,1,48.88,610,
20201219,AST-1735,2,7,1,48.88,594,
20201219,AST-1337,3,2,1,48.88,568,
20201219,AST-1409,4,5,1,48.88,615,
20201219,AST-1742,5,1,1,48.88,616,
20201219,AST-2738,6,8,1,48.88,564,
20201219,BK1,7,4,1,48.88,615,
20201219,BK2,8,6,1,48.88,618,
20201219,AST-1470,1,3,2,48.88,610,
20201219,AST-1735,2,7,2,48.88,594,
20201219,AST-1337,3,2,2,48.88,568,
20201219,AST-1409,4,5,2,48.88,615,
20201219,AST-1742,5,1,2,48.88,616,
20201219,AST-2738,6,8,2,48.88,564,
20201219,BK1,7,4,2,48.88,615,
20201219,BK2,8,6,2,48.88,618,
20201219,AST-1470,1,3,3,48.88,610,
20201219,AST-1735,2,7,3,48.88,594,
20201219,AST-1337,3,2,3,48.88,568,
20201219,AST-1409,4,5,3,48.88,615,
20201219,AST-1742,5,1,3,48.88,616,
20201219,AST-2738,6,8,3,48.88,564,
20201219,BK1,7,4,3,48.88,615,
20201219,BK2,8,6,3,48.88,618,
20201219,AST-1470,1,3,4,48.88,610,
20201219,AST-1735,2,7,4,48.88,594,
20201219,AST-1337,3,2,4,48.88,568,
20201219,AST-1409,4,5,4,48.88,615,
20201219,AST-1742,5,1,4,48.88,616,
20201219,AST-2738,6,8,4,48.88,564,
20201219,BK1,7,4,4,48.88,615,
20201219,BK2,8,6,4,48.88,618,
20201219,AST-1470,1,3,5,48.88,610,
20201219,AST-1735,2,7,5,48.88,594,
20201219,AST-1337,3,2,5,48.88,568,
20201219,AST-1409,4,5,5,48.88,615,
20201219,AST-1742,5,1,5,48.88,616,
20201219,AST-2738,6,8,5,48.88,564,
20201219,BK1,7,4,5,48.88,615,
20201219,BK2,8,6,5,48.88,618,
20201219,AST-1470,1,3,6,48.88,610,
20201219,AST-1735,2,7,6,48.88,594,
20201219,AST-1337,3,2,6,48.88,568,
20201219,AST-1409,4,5,6,48.88,615,
20201219,AST-1742,5,1,6,48.88,616,
20201219,AST-2738,6,8,6,48.88,564,
20201219,BK1,7,4,6,48.88,615,
20201219,BK2,8,6,6,48.88,618,
20201219,AST-1470,1,3,7,48.88,610,
20201219,AST-1735,2,7,7,48.88,594,
20201219,AST-1337,3,2,7,48.88,568,
20201219,AST-1409,4,5,7,48.88,615,
20201219,AST-1742,5,1,7,48.88,616,
20201219,AST-2738,6,8,7,48.88,564,
20201219,BK1,7,4,7,48.88,615,
20201219,BK2,8,6,7,48.88,618,
20201219,AST-1470,1,3,8,48.88,610,
20201219,AST-1735,2,7,8,48.88,594,
20201219,AST-1337,3,2,8,48.88,568,
20201219,AST-1409,4,5,8,48.88,615,
20201219,AST-1742,5,1,8,48.88,616,
20201219,AST-2738,6,8,8,48.88,564,
20201219,BK1,7,4,8,48.88,615,
20201219,BK2,8,6,8,48.88,618,
20201219,AST-1470,1,3,9,48.88,610,
20201219,AST-1735,2,7,9,48.88,594,
20201219,AST-1337,3,2,9,48.88,568,
20201219,AST-1409,4,5,9,48.88,615,
20201219,AST-1742,5,1,9,48.88,616,
20201219,AST-2738,6,8,9,48.88,564,
20201219,BK1,7,4,9,48.88,615,
20201219,BK2,8,6,9,48.88,618,
20201219,AST-1470,1,3,10,48.88,610,
20201219,AST-1735,2,7,10,48.88,594,
20201219,AST-1337,3,2,10,48.88,568,
20201219,AST-1409,4,5,10,48.88,615,
20201219,AST-1742,5,1,10,48.88,616,
20201219,AST-2738,6,8,10,48.88,564,
20201219,BK1,7,4,10,48.88,615,
20201219,BK2,8,6,10,48.88,618,