Well,ID
A1,StandardA
B1,StandardA
C1,StandardB
D1,StandardB
E1,StandardC
F1,StandardC
G1,StandardD
H1,StandardD
A2,StandardE
B2,StandardE
C2,StandardF
D2,StandardF
E2,StandardG
F2,StandardG
G2,StandardH
H2,StandardH
A3,StandardI
B3,StandardI
C3,AST-1190
D3,AST-1190
E3,AST-1091
F3,AST-1091
G3,AST-2728
H3,AST-2728
A4,AST-2301
B4,AST-2301
C4,AST-2079
D4,AST-2079
E4,FLD-0008
F4,FLD-0008
G4,AST-1332
H4,AST-1332
A5,FLD-0011
B5,FLD-0011
C5,AST-2412
D5,AST-2412
E5,FLD-0009
F5,FLD-0009
G5,AST-1185
H5,AST-1185
A6,AST-1138
B6,AST-1138
C6,AST-1184
D6,AST-1184
E6,FLD-0012
F6,FLD-0012
G6,AST-2880
H6,AST-2880
A7,AST-1474
B7,AST-1474
C7,AST-1167
D7,AST-1167
E7,FLD-2305
F7,FLD-2305
G7,AST-1826
H7,AST-1826
A8,AST-1249
B8,AST-1249
C8,AST-2020
D8,AST-2020
E8,FLD-0013
F8,FLD-0013
G8,AST-1074
H8,AST-1074
A9,AST-2541
B9,AST-2541
C9,AST-1194
D9,AST-1194
E9,AST-2060
F9,AST-2060
G9,FLD-0033
H9,FLD-0033
A10,FLD-0032
B10,FLD-0032
C10,FLD-0039
D10,FLD-0039
E10,AST-1145
F10,AST-1145
G10,AST-2729
H10,AST-2729
A11,AST-2165
B11,AST-2165
C11,AST-1497
D11,AST-1497
E11,AST-1412
F11,AST-1412
G11,AST-1754
H11,AST-1754
A12,AST-1458
B12,AST-1458
C12,FLD-0031
D12,FLD-0031
E12,FLD-1655
F12,FLD-1655
G12,AST-1255
H12,AST-1255